英文,谷歌翻译,引用数量？
meyrin hawke,梅林霍克,176
mistorene callus,mistorene愈伤组织,176
mityubi,米图比,176
motoi hiroumi,本井博海,176
multi-strapped bikini bottom,多绑带比基尼泳裤,176
nakatsu shizuru,中津静鹤,176
namiuchigiwa no muromi-san,namiuchigiwa no muromi-san,176
nate mitotsudaira,奈特 mitotsudaira,176
nihongou (touken ranbu),nihongou (刀剑乱舞),176
noe noel,诺诺诺尔,176
olivia (pokemon),奥利维亚（口袋妖怪）,176
oohoshi awai,哦哦哦,176
oomuro hanako,大室花子,176
osakabe-hime (swimsuit archer) (fate),osakabe-hime (泳装弓箭手) (fate),176
painting nails,画指甲,176
pukara,普卡拉,176
rean schwarzer,瑞恩·施瓦泽,176
rei (rei rr),rei (rei rr),176
samoore,萨摩尔,176
sea slug,海蛞蝓,176
seaport summer princess,海港夏日公主,176
senjou no valkyria 2,千条女武神 2,176
shi huang di (fate),石煌帝（命运）,176
shironeko haru,白猫春,176
shyvana,希瓦娜,176
sith,西斯,176
soya (torga),大豆（torga）,176
star trek,星际迷航,176
stationery,文具,176
stuffed carrot,酿胡萝卜,176
takagi saya,高木小夜,176
utamaro,歌摩罗,176
valkyrie no densetsu,女武神没有密苏,176
victorious (kancolle),胜利 (kancolle),176
watosu,watosu,176
white-stew,白炖,176
xenoblade chronicles: future connected,异种之刃编年史：未来互联,176
yamaioni (sasakama),山尾（笹间）,176
yandere simulator,yandere 模拟器,176
year of the goat,羊年,176
you shimizu,你清水,176
yuuhi riri,悠日梨梨,176
zaizen aoi,财前葵,176
akazawa red,赤泽红,175
aoi yuuka (ao no kokoro),aoi yuuka (ao no kokoro),175
aqua-framed eyewear,水框眼镜,175
aquaplus,aquaplus,175
awara kayu,芦原香友,175
azusa (cookie),梓（饼干）,175
belphegor (reborn),贝尔菲格（重生）,175
black panther,黑豹,175
boyano,博亚诺,175
chacha (ss 5087),恰恰（ss 5087）,175
chocoblood,巧克力血,175
criss-cross back-straps,交叉背带,175
cure whip,治愈鞭子,175
doritos,多力多滋,175
elizabeth tower,伊丽莎白塔,175
enlightened byleth (male),开明的贝莱斯（男）,175
fiodo,菲奥多,175
flint (pokemon),燧石（宠物小精灵）,175
giant tree,巨树,175
hirota fruit,广田水果,175
holding dress,拿着连衣裙,175
homare (suzu no oka),homare (铃之冈),175
hplay,hplay,175
ifuji shinsen,伊藤新线,175
iyami,矢见,175
jack daniel's,杰克丹尼尔的,175
jounouchi katsuya,城内胜也,175
k/da evelynn,k/da 伊芙琳,175
kaga ai,加贺爱,175
kanna asumi,kanna asumi,175
koisuru asteroid,小鹤小行星,175
kokonoe tsubaki,九重椿,175
kurihara sakura,栗原樱花,175
kuwada yuuki,桑田优树,175
lutecia alpine,lutecia alpine,175
masamuuu,马萨穆乌,175
masayu,马萨尤,175
matsuo (matuonoie),松尾 (matuonoie),175
mikan (bananoha),蜜柑（香蕉叶）,175
miko fly,巫女飞,175
minegishi ayano,峰岸绫野,175
moe2018,教育部2018,175
mogumo,mogumo,175
mukunoki nanatsu,向木七夏,175
mushiro (nijie728995),mushiro (nijie728995),175
namiki (remiter00),并木 (remiter00),175
natsumekinoko,夏目木之子,175
nina (breath of fire iv),尼娜（火焰之息 iv）,175
nipple bells,乳头铃铛,175
nuno (pppompon),努诺 (pppompon),175
odd (hin yari),奇数 (hin yari),175
ray (pixiv9514208),射线 (pixiv9514208),175
royal navy,皇家海军,175
saito katuo,斋藤加图,175
savan,萨凡,175
serino itsuki,serino 伊月,175
shirt on shoulders,肩膀上的衬衫,175
shizuku (kantoku),雫（关德）,175
shungikuten,春菊天,175
skis,滑雪板,175
solokov (okb-999),索罗科夫 (okb-999),175
space dandy,太空花花公子,175
st. hermelin school uniform,英石。赫尔梅林校服,175
striped scrunchie,条纹发圈,175
super sailor venus,超级水手金星,175
surcouf (azur lane),surcouf（碧蓝航线）,175
swivel chair,转椅,175
tadokoro nurikabe,多所涂壁,175
tyrone,泰隆,175
umitonakai,海之内海,175
wolverine,金刚狼,175
yamaguchi shinnosuke,山口真之介,175
yu-ves,你好,175
yumaru (marumarumaru),玉丸 (marumaru),175
aizawa yuuichi,相泽悠一,174
alpaca girl,羊驼女孩,174
angel of light nanael,光明天使娜奈尔,174
aqua choker,水色项链,174
buuwa,布瓦,174
cafe maid,咖啡厅女佣,174
call (mighty no. 9),呼叫（强大的 9 号）,174
captain earth,地球队长,174
chiester00,切斯特00,174
chop,印章,174
christina sierra,克里斯蒂娜·塞拉,174
circuit board,电路板,174
city forest online,城市森林在线,174
color switch,颜色开关,174
comala (komma la),科马拉 (komma la),174
commander (last origin),指挥官（最后出身）,174
corner,角落,174
eating hair,吃头发,174
flower brooch,花胸针,174
furisuku,福立久,174
hagino makoto,萩野诚174,174
himeno (chainsaw man),himeno（电锯人）,174
hiwatashi nazuna,hiwatashi nazuna,174
holding gohei,拿着gohei,174
homework,家庭作业,174
iromeki overdrive,iromeki 超速行驶,174
kashuu (b-q),卡舒（bq）,174
kieta,基塔,174
konpaku youki (ghost),konpaku youki（鬼）,174
korekara no someday,korekara 总有一天,174
kotobuki hajime,寿始,174
kuroki tomoki,黑木智树,174
lin yuhsia (arknights),林雨霞（方舟）,174
little mac,小苹果,174
love triangle,三角恋,174
lovestruck,失恋174,174
magilou (tales),magilou（故事）,174
mayer (arknights),迈尔（方舟之夜）,174
meatball,肉丸,174
mexico,墨西哥,174
mm (mm chair),毫米（毫米椅子）,174
namu (nurui cha),namu (nurui cha),174
nauribon,诺里本,174
nina wang,王妮娜,174
noel (noel-gunso),诺埃尔 (noel-gunso),174
oborotsuki kakeru,oborotsuki kakeru,174
penguin logistics (arknights),企鹅物流（arknights）,174
perfume (band),香水（乐队）,174
pin,销,174
polka dot trim,圆点装饰,174
power pro kun pocket,power pro 坤口袋,174
prisoner,囚犯,174
rectangular pupils,长方形瞳孔,174
rin (inuyasha),凛（犬夜叉）,174
sabotender,破坏者,174
saiga-12 (girls' frontline),saiga-12（女孩前线）,174
scarf bow,围巾蝴蝶结,174
senbei (senbe i),仙贝 (senbe i),174
sengoku aky,战国aky,174
shibata rai,柴田雷,174
shikimi (yurakuru),式味 (yurakuru),174
smoke grenade,烟雾弹,174
sollyz,索利兹,174
suzumiya haruka,凉宫遥,174
tadano hitohito,多田野一人,174
tea party,茶话会,174
teddiursa,泰迪乌萨,174
tesshii (riza4828),铁石 (riza4828),174
tonami kanji,砺波汉字,174
torahime (roland00),虎姬 (roland00),174
toy car,玩具车,174
uma pyoi densetsu,uma pyoi 浓密苏,174
varus,内翻,174
wailmer,哭泣者,174
wonder woman (series),神奇女侠（系列）,174
yamano remon,山野雷蒙,174
yashiro seika,八代精华,174
yukimiya (parupunta),雪宫 (parupunta),174
yuza,柚子,174
air defense princess,防空公主,173
akabashi yuusuke,赤桥优介,173
akichin (atelier baguri),akichin (atelier baguri),173
amamitsu kousuke,天光幸介,173
balkenkreuz,巴尔肯克鲁兹,173
bokura no live kimi to no life,bokura no live kimi to no life,173
bow swimsuit,蝴蝶结泳衣,173
brekkist,休息,173
chaba (hortensia),查巴（霍滕西亚）,173
chigusa asuha,秋叶千草,173
chiune (yachi),chiune (yachi),173
cinnamon (nekopara),肉桂（nekopara）,173
dancer (three houses),舞者（三间屋子）,173
echo saber,回声军刀,173
emperpep,埃佩佩普,173
epilepsy warning,癫痫警告,173
fire emblem warriors,火徽勇士173,173
ganassa,加纳萨,173
gauge,量规,173
gerwalk,格沃克,173
great pyrenees,大比利牛斯山脉,173
gundam sentinel,高达哨兵173,173
hatsume mei,初目妹,173
holding pointer,手持指针,173
hole in chest,胸口有个洞,173
hololive china,hololive 中国,173
ichinose minori,一之濑小,173
inari konkon koi iroha.,inari konkon 锦鲤 iroha.,173
io (sinking=carousel),io（下沉=旋转木马）,173
janis (hainegom),贾尼斯（海尼根）,173
jessie rasberry,杰西·拉斯伯里,173
kasukabe akira,春日部晃,173
keffiyeh,头巾,173
kikyou (inuyasha),桔梗（犬夜叉）,173
kokutou azaka,国头阿扎卡,173
komb,库姆,173
kurisu-kun,栗栖君,173
lampent,灯,173
lichtenberg figure,利希滕贝格图,173
loen,卢恩,173
maachin,马钦,173
mamimu (ko cha 22),mamimu (ko cha 22),173
mariah (jojo),玛丽亚 (jojo),173
master ball,大师球,173
materclaws,母爪,173
miyamoto rei,宫本玲,173
moire,波纹,173
moketa,莫克塔,173
monk (fft),和尚 (fft),173
morino bambi,森野小鹿斑比,173
n (dai n honpo),n (大本报),173
nanostar,纳米之星,173
nekko (momosuzu nene),nekko (momosuzu nene),173
nekojira,猫吉拉,173
nemui333,nemui333,173
nicoseiga sample,尼塞加样品,173
nin (female),忍（女）,173
ninja gaiden,忍者外传,173
ninniku (ninnniku105),忍肉 (ninnniku105),173
no.6,第 6,173
noragami,野良神,173
oricorio,oricorio,173
pen (pen3),笔 (pen3),173
pink pubic hair,粉红色的阴毛,173
poch4n,poch4n,173
prishe,骗子,173
rito,里托,173
ruka (piyopiyopu),鲁卡 (piyopiyopu),173
rukinya (nyanko mogumogu),rukinya (nyanko mogumogu),173
ryu genshin77,流原心77,173
salome (one piece),莎乐美（一件）,173
sangoku musou 1,三国无双 1,173
sape (saperon black),sape (saperon black),173
saruanu,萨鲁努,173
scarlet (studioscr),猩红色（工作室）,173
shigure s,时热 s,173
soto,索托,173
sotoba,荞麦面,173
spade earrings,黑桃耳环,173
stirrups,马镫,173
suoni (deeperocean),suoni (深海),173
tail masturbation,尾巴手淫,173
takana,高名,173
tatsuta kai ni (kancolle),tatsuta kai ni (kancolle),173
tiger ii,老虎二,173
tokarev tt-33,托卡列夫 tt-33,173
toro3,托罗3,173
tororo ten,托罗罗十,173
touran-sai,图兰赛,173
tsuyuzaki mahiru,tsuyuzaki 真昼,173
type 100 (girls' frontline),100型（少女前线）,173
underwater sex,水下性爱,173
utsushimi kemii,内见 kemii,173
vest removed,背心已移除,173
vulcan salute,火神致敬,173
wanderer (ragnarok online),流浪者（仙境传说在线）,173
yofukashi no uta,yofukashi no uta,173
yowamushi pedal,yowamushi 踏板,173
yuuki aoi,葵优纪173,173
zeus (inazuma eleven),宙斯（闪电十一人）,173
aida kensuke,相田健介,172
astarotte ygvar,阿斯塔洛特 ygvar,172
automail,自动邮件,172
ayame (0419),绫雨 (0419),172
ayame (gundam build divers),绫女（高达建造潜水员）,172
basketball court,篮球场,172
binayu,比纳尤,172
bird/binary,鸟/二进制,172
brushing own hair,自己梳头,172
cecilia (shiro seijo to kuro bokushi),cecilia (shiro seijo to kuro bokushi),172
cerestia of life,生命之冠,172
chrisandita,克里斯桑蒂塔,172
cure egret,治愈白鹭,172
cure grace,治愈恩典,172
drawn whiskers,画胡须,172
elle mel martha,艾尔梅尔玛莎,172
flick,轻弹,172
gakubuchi aiko,学渊爱子,172
high belt,高腰带,172
hirai yukio,平井由纪夫,172
holding petal,捧着花瓣,172
horrified,吓坏了,172
ibuki maya,伊木玛雅,172
inishie kumo,冰雪云,172
ion (cation),离子（阳离子）,172
iwatobi high school uniform,岩飞高中校服,172
jack (slaintheva),杰克（slaintheva）,172
jingo,金戈,172
kaeranu kaeru,卡鲁努卡鲁,172
kanau,卡瑙,172
kanzarin,坎萨林,172
ki (adotadot),ki (adotadot),172
kihou no gotoku dmc,纪峰之豪 dmc,172
kirby and the forgotten land,柯比与被遗忘的土地,172
kobayakawa miyuki,小早川美雪,172
kumo desu ga nani ka?,kumo desu ga nani ka?,172
latex dress,乳胶连衣裙,172
lina (michihasu),莉娜 (michihasu),172
lunalu (granblue fantasy),lunalu（碧蓝幻想）,172
makishima azusa,牧岛梓,172
maru (sara duke),丸（萨拉公爵）,172
matryoshka doll,俄罗斯套娃,172
mayachi (amuriya),mayachi (amuriya),172
minami koharu,南小春,172
minazuki noumu,minazuki noumu,172
miniature,微型,172
muginami,麦并波,172
na tarapisu153,纳塔拉皮苏153,172
nose hook,鼻钩,172
okonomiyaki,御好烧,172
osame,乌萨姆,172
otoki raku,大时乐,172
playstation 3,游戏机 3,172
pointing sword,指剑,172
pointing to the side,指着一边,172
pyonsuke (pyon2 mfg),pyonsuke (pyon2 mfg),172
ratna petit,小拉特纳,172
renetan,瑞坦,172
rowan,罗文,172
ryokucha michi,绿茶道,172
sakai (motomei),酒井（元明）,172
sakurada shiro,樱田四郎,172
sao satoru,小悟172,172
seicoh,精光,172
sekiyu (spartan),sekiyu (斯巴达),172
shuten douji (festival outfit) (fate),Shuten douji（节日服装）（命运）,172
skade,斯凯德,172
spilled milk,溢出的牛奶,172
sr-3mp (girls' frontline),sr-3mp（女子前线）,172
steve (minecraft),史蒂夫（我的世界）,172
straylight (idolmaster),迷光（偶像大师）,172
taiki (6240taiki),太极 (6240太极),172
tetris,俄罗斯方块,172
the legend of zelda: link's awakening,塞尔达传说：林克的觉醒,172
tommy (kingdukeee),汤米（国王公爵）,172
toxtricity,毒性,172
ushinawareta mirai wo motomete,ushinawareta mirai wo motomete,172
wakaba sprout,若叶芽,172
wakamiya eve,若宫前夕,172
wara (warapro),瓦拉（warapro）,172
wireless earphones,无线耳机,172
yan wan,颜湾,172
yassy,亚西,172
yukinojou yakan,雪之城矢馆,172
yunuki uta,优树歌,172
yuuki nao,优纪直,172
zasha,扎莎,172
7gao,7高,171
abigail williams (swimsuit foreigner) (second ascension) (fate),abigail williams (泳装老外) (第二次提升) (命运),171
acryl,亚克力,171
akatsuki no goei,晓的合影,171
akb48,akb48,171
aku (dejigiga),aku (dejigiga),171
akujiki59,隼木59,171
alkemanubis,alkemanubis,171
amekosame,小雨,171
ao oni (onioni-aoi),青鬼 (ononi-aoi),171
apple hair ornament,苹果发饰,171
aquarian age,水瓶座时代,171
arancia,阿兰西亚,171
archer (fate) (cosplay),弓箭手（命运）（角色扮演）,171
asatsuki (fgfff),浅月 (fgff),171
assassin's creed ii,刺客信条 ii,171
athena glory,雅典娜荣耀,171
ayuayu (chisuke ayu),ayuayu (chisuke ayu),171
bakuman,爆满,171
behind ear,耳后,171
bellossom,贝洛索姆,171
bellows (suisei no gargantia),波纹管 (suisei no gargantia),171
belly rub,腹部按摩,171
big bad wolf,大灰狼,171
blind girl (popopoka),盲女 (popopoka),171
boca,博卡,171
bokuman,博库曼,171
bunny earrings,兔子耳环,171
capriccyo,任性,171
captain amari,阿玛丽船长,171
cardboard,纸板,171
chachi (azuzu),chachi (azuzu),171
chameleon tail,变色龙尾巴,171
chiba sadoru,千叶sadoru,171
crona (soul eater),克罗纳（食魂者）,171
crybringer,哭泣者,171
daiwa scarlet (trifle vacation) (umamusume),daiwa Scarlet (琐事假期) (umamusume),171
dalc rose,达尔克玫瑰,171
dark magician,黑魔法师,171
dawn (pokemon) (cosplay),黎明（口袋妖怪）（角色扮演）,171
dha,达,171
dog print,狗印,171
domon kasshu,多蒙卡舒,171
elven forest maker,精灵森林制造者,171
emia (castilla),血症（卡斯蒂利亚）,171
evo grim,埃沃严峻,171
fakemon,假货,171
falin thorden,法林索登,171
fin funnels,翅片漏斗,171
first aid,急救,171
flaming halo,火焰光晕,171
fossil,化石,171
fukube tamaki,福部玉木,171
furukawa sanae,古川早苗,171
gashapon,扭蛋,171
gesture request,手势请求,171
gneisenau (azur lane),格奈森瑙（碧蓝航线）,171
gofelem,戈弗莱姆,171
golbat,球蝠,171
gozz,戈兹,171
griffin & kryuger,格里芬和克鲁格,171
guilty gear x,有罪装备 x,171
happy meek (umamusume),快乐温顺（umamusume）,171
helmet over eyes,戴头盔,171
henrietta (gunslinger girl),亨丽埃塔（枪手女孩）,171
hermit crab,寄居蟹,171
hikari niji,光尼治,171
hjz (artemi),hjz（阿尔特米）,171
holding blanket,抱毯,171
holding jar,拿着罐子,171
hououji fuu,后宫风,171
ishikawa goemon xiii,石川五右卫门十三,171
issun,伊森,171
itsumo nokoru,itsumo nokoru,171
jaguar girl,捷豹女孩,171
k-pop,韩国流行音乐,171
kagami taiga,镜大河,171
kaida michi,开田道,171
kamura (armor),kamura（盔甲）,171
kana (fire emblem),假名（火徽）,171
kanchou,看州,171
kashimashi,鹿岛市,171
kdm (ke dama),kdm (ke dama),171
kinsenka momi,金森卡妈妈,171
kiriha (tsugumomo),kiriha (tsugumomo),171
kisaragi yuri,如月尤里,171
kito koruta,喜多可如太,171
kokotetsu,心铁,171
kotobukiya bishoujo,寿屋美少女,171
kotomuke fuurin,琴木风林,171
kotoura-san,琴浦山,171
kuri giepi,kuri giepi,171
kurousagi yuu,黑鹭优,171
kusakabe yuuki (to heart 2),kusakabe yuuki (to heart 2),171
kuune rin,久云凛,171
lantern on liquid,液体灯笼,171
latex leotard,乳胶紧身衣,171
love lab,爱实验室,171
mac-10,mac-10,171
manjoume jun,manjoume jun,171
martha (swimsuit ruler) (third ascension) (fate),玛莎（泳装统治者）（第三次提升）（命运）,171
mashue,马修,171
meerkat ears,猫鼬耳朵,171
midnight (boku no hero academia),午夜（boku no hero 学术界）,171
mishima kazuya,三岛和也,171
mitarashi dango,御手洗团子,171
mogskg,莫公斤,171
monk (final fantasy),和尚（最终幻想）,171
nagasawa tougo,长泽东乡,171
nagato yuki-chan no shoushitsu,长门由纪酱的少年171,171
najimi shin,najimi shin,171
nakagawa nana,中川奈奈,171
nibosi,尼波西,171
nier (young),尼尔（年轻）,171
noel (sora no method),诺埃尔（sora no method）,171
nokishita kumoemon,nokishita komoemon,171
norita,诺田,171
novcel,小说,171
nylon,尼龙,171
ochikobore fruit tart,ochikobore 水果馅饼,171
ogre (illustogre),食人魔 (illustogre),171
ogry ching,奥格里青,171
onigirya (nekomata okayu),饭团 (nekomata Okyu),171
orange sarong,橙色纱笼,171
order of the black knights uniform,黑骑士制服勋章,171
orz (kagewaka),orz (影若),171
ouri (aya pine),ouri (aya 松),171
outlaw star,不法之星,171
padparadscha (houseki no kuni),padparadscha (houseki no kuni),171
patty fleur,帕蒂芙蓉,171
pelvic curtain aside,骨盆帘,171
pink armor,粉色盔甲,171
pink wristband,粉色腕带,171
pokemon egg,宠物小精灵蛋,171
polka dot hair,波点头发,171
pon yui,蓬衣,171
poppy (poppykakaka),罂粟 (poppykakaka),171
princess ruto,公主鲁托,171
quality,质量,171
r0g0b0,r0g0b0,171
rags,破布,171
rail wars!,铁路战争！,171
rainbow text,彩虹文字,171
resident evil 2 (remake),生化危机2（翻拍）,171
richard (ri39p),理查德 (ri39p),171
rose background,玫瑰背景,171
ruo (tariki hongan),ruo (tariki hongan),171
ruschuto,鲁舒托,171
sabo (one piece),萨博（一件）,171
sakura sora,樱花空,171
sandogasa,桑多加萨,171
sapphire (sapphire25252),蓝宝石 (sapphire25252),171
sato art,佐藤艺术,171
sazae-san,sazae-san,171
senano-yu,千野汤,171
serge (chrono cross),哔叽 (chrono cross),171
shampoo hat,洗发帽,171
shikabane itsuka,鹿羽五香,171
shirogane kei,白银系,171
shiroko (cycling) (blue archive),shiroko（自行车）（蓝色档案）,171
shirt under shirt,衬衫下的衬衫,171
slyvia,斯莱维亚,171
snatti,斯纳蒂,171
solru,索尔鲁,171
sophia esteed,索菲亚·埃斯蒂德,171
soyoong jun,小俊俊,171
spas-12,水疗中心-12,171
spheal,螺旋体,171
star ocean integrity and faithlessness,星海诚信不忠,171
stellar loussier,恒星糟糕,171
stifled laugh,憋笑,171
story of eastern wonderland,东方仙境的故事,171
suicidal girl (hamsterfragment),有自杀倾向的女孩（仓鼠碎片）,171
suzunoki rin,铃木凛,171
t t,tt,171
takizawa asuka,泷泽明日香171,171
tank turret,坦克炮塔,171
tatapopo,塔塔波波,171
tekken 6,铁拳 6,171
thompson/center contender,汤普森/中锋竞争者,171
tokuura,德浦,171
torn sleeve,撕裂的袖子,171
torterra,托特拉,171
touka (utawarerumono),touka (utawarerumono),171
toy airplane,玩具飞机,171
triela,特里拉,171
tsuchikure,土库雷,171
tsuchimiya,土宫,171
ujikintoki tamaryu,人金时 tamaryu,171
uppi,上皮,171
vinland saga,文兰传奇,171
viperxtr,蝰蛇,171
wasabi (legemd),芥末（legemd）,171
watery eyes,水汪汪的眼睛,171
werkbau,工厂,171
white pajamas,白色睡衣,171
x-ray glasses,X 光眼镜,171
yamato junji,大和纯二,171
yoshiku (oden-usagi),yoshiku (oden-usagi),171
yurichtofen,尤里希托芬,171
yuzu (fruit),柚子（水果）,171
accordion,手风琴,170
akaiha (akaihasugk),赤羽 (akaihasugk),170
akane (bunny) (blue archive),茜（兔子）（蓝色档案）,170
akisaka yamoka,秋坂山冈,170
akizuki akina,秋月秋菜170,170
amamiya minato,天宫凑,170
animal request,动物请求,170
armored skirt,装甲裙,170
awa toka,阿波十花,170
bad aspect ratio,长宽比不好,170
bettle (b s a n),甲虫 (bsan),170
beyond the nobles (idolmaster),超越贵族（偶像大师）,170
bokota (bokobokota),博科塔 (bokobokota),170
buddha,佛,170
chin piercing,下巴穿孔,170
ciloranko,西洛兰科,170
cirno (cosplay),cirno (cosplay),170
cirno-nee,cirno-nee,170
cross edge,横边,170
damage numbers,伤害数字,170
dark samus,黑暗萨姆斯,170
david liu,刘大卫,170
dokuro-kun (houshou marine),dokuro-kun (houshou Marine),170
dsr-50 (highest bid) (girls' frontline),dsr-50（最高出价）（少女前线）,170
duke of york (azur lane),约克公爵（碧蓝航线）,170
dusknoir,黑夜,170
eunectes (forgemaster) (arknights),eunectes (forgemaster) (方舟之夜),170
flat chest joke,平胸笑话,170
fletchling,雏鸟,170
gothic wa mahou otome,哥特式 wa mahou 乙女,170
gundam 00 a wakening of the trailblazer,高达 00 开拓者的觉醒 170,170
hakugyokurou,白玉郎,170
himehina channel,姬路频道,170
ibuki pon,ibuki pon,170
ilog,ilog,170
jackal tail,豺尾,170
jewel butt plug,宝石对接插头,170
juvia lockser,juvia 储物柜,170
kacyu,卡丘,170
kagome (traumatize),戈薇（创伤）,170
kansuke,勘助,170
kimi to boku no mirai,kimi to boku no mirai,170
kinagi yuu,木木悠,170
kirishima (aoki hagane no arpeggio),雾岛 (aoki hagane no arpeggio),170
kissing hair,亲吻头发,170
kouhai-chan (tawawa),kouhai-chan (tawawa),170
kourourin,库鲁林,170
kuriboh,栗色,170
kuroki (ma-na-tu),黑木 (ma-na-tu),170
kuroneko no toorimichi,黑猫的通道,170
kurosu aroma,黑须香气,170
laby (elsword),实验室（艾斯之剑）,170
lgbt pride,lgbt 骄傲,170
mabanna,马班纳,170
madyy,麦迪,170
mass production eva,量产eva,170
matayoshi,又吉,170
matching shanghai,匹配上海,170
michiking,米奇金,170
mino tarou,美浓芋头,170
miso katsu,味噌炸猪排,170
miyata sou,宫田总170,170
morisawa haruyuki,森泽春雪,170
morisova,莫里索娃,170
multicolored pants,五彩裤,170
muramatsu sakura,村松樱花,170
nanananana,楠楠楠,170
naruse yuu,成濑悠,170
nekoboshi sakko,猫猫食子,170
nipple tassels,乳头流苏,170
noah (xenoblade),诺亚（异形之刃）,170
nukkoru,努科鲁,170
old man (guin guin),老人 (guin guin),170
onsoku no sonic,onsoku 没有音速,170
otaku room,宅男房间,170
padoru (meme),padoru（模因）,170
penis on stomach,阴茎放在肚子上,170
politician,政治家,170
rayvon,雷冯,170
reri,瑞丽,170
rumie,鲁米,170
rune knight (ragnarok online),符文骑士（仙境传说在线）,170
ryuji (red-truth),ryuji (red-truth),170
ryuushen,龙神,170
sakura quest,樱花任务,170
salamander,蝾螈,170
salmon,三文鱼,170
samoyed (dog),萨摩耶（狗）,170
saria (the law) (arknights),saria（法律）（方舟之夜）,170
sasago kaze,笹谷风,170
satyr,色狼,170
sdf-1,sdf-1,170
seasons,季节,170
selkie (fire emblem),塞尔基（火徽）,170
sen no kiseki iii,千之轨迹 iii,170
shinobu (ninin ga shinobuden),忍（忍忍忍）,170
signo aaa,签名 aaa,170
snow white (mahoiku),白雪公主 (mahoiku),170
space yoko,太空洋子,170
spectral (series),光谱（系列）,170
sweet home,甜蜜的家,170
takoneru,塔科内鲁,170
tasogare otome x amnesia,tasogare 乙女 x 失忆症,170
teto (nausicaa),teto (nausicaa),170
unbuttoning,解开,170
yellowroom,黄室,170
yonaga san,与长山,170
yuuma (renkin san-kyuu magical pokaan),yuuma (renkin san-kyuu 魔法破案),170
yuzu-aki,柚子秋,170
zebstrika,斑马鱼,170
zol,唑,170
1960s (style),1960 年代（风格）,169
aida rayhunton,艾达·雷亨顿,169
akihiyo,秋日,169
anabone,Anabone,169
anteater tail,食蚁兽尾巴,169
aosora kamiya,aosora 神谷,169
bencao gangmu,本草钢木,169
bob (you-u-kai),鲍勃 (you-u-kai),169
botan (yu yu hakusho),botan (yu yu hakusho),169
circussion,马戏团,169
colored condom,彩色避孕套,169
comic cover,漫画封面,169
common bottlenose dolphin (kemono friends),普通宽吻海豚（kemono 朋友）,169
concentrating,专注,169
constanze amalie von braunschbank-albrechtsberger,康斯坦茨·阿玛莉·冯·布劳恩施银行-阿尔布雷希茨贝格,169
d.koutya,d.koutya,169
dragon nest,龙巢,169
emil castagnier,埃米尔·卡斯塔尼,169
face to pecs,面对胸肌,169
five-seven (gun),五七（枪）,169
formidable (timeless classics) (azur lane),令人敬畏的（永恒的经典）（碧蓝航线）,169
garden of the sun,太阳花园,169
gareth (fate),加雷斯（命运）,169
gekijouban hibike! euphonium,激城半自行车！次中音号,169
gift card,礼品卡,169
gleision adain,格莱西翁·阿丹,169
gobera,戈贝拉,169
gu li,古力,169
hamster costume,仓鼠服装,169
hatsuyume,初梦,169
hebitsukai,hebittsukai,169
hikasa tomoshika,比笠智香,169
holding cigar,拿着雪茄,169
holding headphones,拿着耳机,169
hrd,人力资源,169
i.takashi,i.takashi,169
illustrious (morning star of love and hope) (azur lane),杰出的（爱与希望的晨星）（碧蓝航线）,169
innovators (gundam 00),创新者（高达 00）,169
itsuwa,五和,169
kamen rider agito (series),假面骑士 agito (系列),169
kinmedai pink,金眉粉,169
kintaro,金太郎,169
kiriman (souldeep),基里曼（灵魂深处）,169
left-hand drive,左侧驾驶,169
limbus company,边缘公司,169
maboroshi no ginzuishou,maboroshi no ginzuishou,169
majin buu,魔人布欧,169
mantis girl,螳螂女,169
music stand,乐谱架,169
nacchan (ohisashiburi),nacchan (ohishashiburi),169
naka (cheeseyeast),纳卡（奶酪）,169
neruzou,neruzou,169
nonon (xenonbot),nonon (xenonbot),169
norakura (nr kura),norakura (nr kura),169
olchas,奥尔查斯,169
phantom brave,幻影勇者,169
potto,火锅,169
ryokushiki (midori-ya),绿敷（绿屋）,169
sainohikari,彩光,169
sakuya (p&d),sakuya (p&d),169
schezo wegey,舍佐韦格,169
senmu (senmudayo),千目 (senmudayo),169
shellder,脱壳机,169
shiina kokomi,椎名kokomi,169
shining tears,闪亮的眼泪,169
shuten douji (fate) (cosplay),Shuten douji (fate) (cosplay),169
snow boots,雪地靴,169
sokrates (touhou),苏格拉底（东方）,169
spark (pokemon),火花（口袋妖怪）,169
star guardian lux,明星卫士勒克斯,169
suomi (midsummer pixie) (girls' frontline),suomi (仲夏小精灵) (少女前线),169
suzumi (fallxalice),suzumi (fallxalice),169
takayama toshiaki,高山俊明,169
tamamo no mae (sable mage) (fate),tamamo no mae (sable mage) (fate),169
tatsumiya kagari,tatsumiya kagari,169
teffish,teffish,169
tokio neo,东京新,169
tool belt,工具带,169
toriyama akira,鸟山明,169
tostantan,托斯坦坦,169
toy gun,玩具枪,169
umonebi,乌梅比,169
vanessa (kof),凡妮莎 (kof),169
vortex vanquisher (genshin impact),漩涡征服者（原神冲击）,169
wakagi repa,wakagi repa,169
yamaguchi homupe,山口本平,169
yellow pajamas,黄色睡衣,169
yoshida iyo,吉田伊予,169
yue (show-ei),悦 (show-ei),169
2002,2002,168
aardwolf tail,土狼尾巴,168
agenasu,agenasu,168
alder (pokemon),桤木（口袋妖怪）,168
amity blight,友情枯萎,168
android 17,安卓 17,168
